pali	grammar_y	meaning_y	from_y	exists
opuñjāpetvā	absolutive	having made caused someone to wipe	opuñjapetvā	right_only
opuñjati	present 3 singular	heaps up, collects		right_only
opuñjitvā	absolutive	having wiped; wiped over (with); smeared	['opuñjati', 'opuñchitvā']	right_only
opeti	causative present 3 singular	throws into, heaps up (in)	opayati	right_only
ophuṭa	adjective	filled, pervaded by; encompassed by; possessed by	ophuta	right_only
ophuta	adjective	filled, pervaded by; encompassed by; possessed by	ophuṭa	right_only
obhaggavibhagga	adjective	broken (or bent) and crushed	obhagga	right_only
obhaggobhagga	adjective	variously broken of; (or variously bent down	obhagga	right_only
obhatacumbaṭa	adjective (feminine)	(a wife) married when the cumbaṭa coiled pad has been taken off		right_only
obhanditvā	indeclinable	tying on, fixing on		right_only
obhāsate	present 3 singular	speaks to suggestively or lewdly or offensively; insults	obhāsati	right_only
obhāsayat	present participle adjective	making bright, illumining	obhāseti	right_only
obhāsaya	present participle adjective	making bright, illumining	obhāseti	right_only
obhoga	masculine	fold, coil		right_only
omadda	masculine	crushing, oppressing		right_only
omaddakāraka	masculine	one who oppresses (others); a bully (?)	omadda	right_only
omāti	present 3 singular	measures up to; is able, is capable (of)		right_only
omuttayati	present 3 singular	urinates upon	omutteti	right_only
omuddhaka	adjective	with the head hanging down; upside down		right_only
oyācati	present 3 singular	curses, imprecates		right_only
orato	indeclinable ablative	on this side (of), on the nearer side; before	ora	right_only
oramgāmanīya	adjective	connected with coming to this world, with returning to the lower spheres of existence	ora	right_only
orambhāgamanīya	adjective	connected with this side of existence, with the lower spheres of existence		right_only
oravitar	masculine	(one) who cries out, who caws		right_only
oravita	masculine	(one) who cries out, who caws		right_only
orasika	adjective	belonging to or in one’s breast		right_only
oruddhati	present 3 singular	encloses, shuts in; confines; restrains	orundhati	right_only
orodheti	causative present 3 singular	causes to be confined or checked; checks	oruddhati	right_only
oropaṇa	neuter	taking down, lowering; removal; putting (the hands) downwards	['oropana', 'oropanā']	right_only
oropanā	feminine	taking down, lowering; removal; putting (the hands) downwards	['oropaṇa', 'oropana']	right_only
oropayati	causative present	(also oropeti) causes to descend; puts down; takes down, lowers (on to); removes	['oruhati', 'orohati']	right_only
olagga	adjective	fastened; attached		right_only
olaggi	present 3 singular	fastens, ties on; attaches		right_only
olaṅghāna	feminine	pulling down; lowering		right_only
olaṅgheti	causative present 3 singular	makes jump down; lowers		right_only
olambanaka	masculine or neuter	something hanging down to be clung to		right_only
olambeti	causative present 3 singular	makes hang down, lets hang down; suspends	olambati	right_only
olikhiṃ	aorist 1 singular	scraped off; combed	olikhati	right_only
oliyati	present 3 singular	hangs down; sinks down, cowers; hangs back; falls behind	olīyati	right_only
olīnavilīna	adjective	hanging or dripping down and round about	olīyati	right_only
olīnavuttika	adjective	liable to hang back; habitually sluggish	olīyati	right_only
olīnavuttitā	feminine abstr	the habit of sluggishness; hanging back	olīyati	right_only
olujjati	present 3 singular	breaks away; falls into pieces		right_only
olumpetvā	indeclinable	cuts off; removes		right_only
olokayati	present 3 singular	looks at; watches; observes, examines; regards; looks to; looks down; looks to for permission or instruction	oloketi	right_only
ovaṭa	past participle adjective	checked; prevented		right_only
ovaṭṭa	past participle adjective	rained upon; exposed to the rain	['ovassati', 'ovaṭṭha', 'ovuṭṭha']	right_only
ovaṭṭika	feminine	what is rolled up or round; a fold, a tuck; a hem; a seam; a girdle, a waist cloth, a fold of material at the waist (in which objects were carried); perhaps also a bracelet	['ovaṭṭikā', 'ovaṭṭiya']	right_only
ovaṭṭiya	feminine	what is rolled up or round; a fold, a tuck; a hem; a seam; a girdle, a waist cloth, a fold of material at the waist (in which objects were carried); perhaps also a bracelet	['ovaṭṭika', 'ovaṭṭikā']	right_only
ovadī	aorist 3 singular	gave advice; admonished	ovadati	right_only
ovadeti	present 3 singular	instructs; admonishes; counsels	ovadati	right_only
ovaddheyya	neuter	a patch, patching		right_only
ovaraṇa	neuter	covering, protection		right_only
ovarenta	causative part.present adjective	obstructing; covering, concealing		right_only
ovassate	present 3 singular	rains upon		right_only
ovassāyati	causative present 3 singular	(also ovassāpeti) lets be rained upon; exposes to the rain	['ovassati', 'ovassate']	right_only
ovādakara	adjective	following advice; obeying instructions	ovāda	right_only
ovādaṭhapita	adjective	from whom instruction has been withdrawn	ovāda	right_only
ovādikā	feminine	(one) who admonishes; instructs, counsels	ovādaka	right_only
ovuṭa	past participle adjective	covered; encompassed; checked, obstructed	ovuta	right_only
ovuṭṭha	past participle adjective	rained upon; exposed to the rain	['ovassati', 'ovaṭṭa', 'ovaṭṭha']	right_only
ovuyhati	present 3 singular	is carried down		right_only
osaṇheti	present 3 singular	makes smooth; smooths down		right_only
osadhītārakā	feminine	the osadhī star	osadhī	right_only
osadhītiṇavanappatayo	masculine plural	plants, grasses, and trees	['osadhītināvanaspatayo', 'osadhī']	right_only
osadhītiṇavanaspatayo	masculine plural	plants, grasses, and trees	['osadhītināvanappatayo', 'osadhī']	right_only
osaraka	neuter or masculine	a projection to a house or building, a verandah	osāraka	right_only
osādayati	causative present 3 singular	(also osādeti) causes to sink; immerses; discourages	['osādeti', 'osīdati']	right_only
osāraka	neuter or masculine	a projection to a house or building, a verandah	osaraka	right_only
osāraṇa	neuter ~ā, feminine	bringing before the saṅgha, admitting; especially re-admitting (a suspended bhikkhu) to the saṅgha; re-accepting (a layman, who had been disciplined)		right_only
osāraṇīya	adjective (neuter)	(the formal act) connected with re-admittance		right_only
osārayati	past participle adjective	makes enter; puts into or on to; lowers (into)	['osarati', 'osāreti']	right_only
osārayati	past participle adjective	makes re-enter, re-admits (a bhikkhu to the saṅgha after suspension)	['osarati', 'osāreti']	right_only
osārayati	past participle adjective	(causative present 3 singular) recites; recounts	['osarati', 'osāreti']	right_only
osāriyati	passive present 3 singular	is readmitted	osarati	right_only
osāretabba	future passive participle adjective	to be readmitted	osarati	right_only
ossaṭṭhakāya	adjective	with one’s form abandoned, abandoning one’s body	['ossajati', 'ossaṭṭha']	right_only
ossāvana	neuter	(according to commentary) the top of the roof	ossavana	right_only
ohacca	indeclinable	extracting; raising, removing		right_only
ohata	past participle adjective	take away, removed	['ohaṭa', 'oharati']	right_only
ohārapetvā	causative absolutive	having caused to be removed, having had removed	oharati	right_only
ohārita	past participle adjective	taken down	oharati	right_only
ohāri	adjective	carrying down; dragging down; carrying off, plundering		right_only
ohiyyaka	m(fn.)	(one) left behind	ohīyaka	right_only
ka cana	phrase	(singular accusative masculine kañcanaṁ); someone; anyone	ka	right_only
ka ci	phrase	ka + ci repeated; of whatever kind; of some kind or other	ka	right_only
kaṃsapattharika	masculine	a dealer in metal (goods)	kaṁsa	right_only
kakacūpama	adjective & neuter	(adjective) containing the example of the saw	['kakaca', 'kakacopama']	right_only
kakacūpama	adjective & neuter	(neuter) the sutta containing the example of the saw, the Kakacūpamasutta (M I 121–29)	['kakaca', 'kakacopama']	right_only
kakacūpamaovāda	masculine	the instruction using the example of the saw	['kakacūpamovāda', 'kakaca']	right_only
kakacūpamovāda	masculine	the instruction using the example of the saw	['kakacūpamaovāda', 'kakaca']	right_only
kakacopama	adjective & neuter	(adjective) containing the example of the saw	['kakaca', 'kakacūpama']	right_only
kakacopama	adjective & neuter	(neuter) the sutta containing the example of the saw, the Kakacūpamasutta	['kakaca', 'kakacūpama']	right_only
kakuṭapāda	adjective	dove footed		right_only
kakutthaka	masculine	a kind of bird, perhaps a wild cock	kukutthaka	right_only
kakkassa	neuter	roughness; harshness		right_only
kaṅkhachida	adjective	removing doubts	['kaṅkhacchida', 'kaṅkhā']	right_only
kaṅkhacchida	adjective	removing doubts	['kaṅkhachida', 'kaṅkhā']	right_only
kaṅkhaṭṭhānīya	adjective	being a source of doubts, causing uncertainty	['kaṅkhāṭṭhānīya', 'kaṅkhā']	right_only
kaṅkhāṭṭhānīya	adjective	being a source of doubts, causing uncertainty	['kaṅkhaṭṭhānīya', 'kaṅkhā']	right_only
kaṅkhāyita	neuter	doubt, uncertainty		right_only
kaṅkhitā	feminine abstr	the being uncertain	kaṅkhi(n)	right_only
kacchū	feminine	the itch, scabies		right_only
kaṭakaṭa	m(f)n	(soup) treated in various ways; (possibly) treated and untreated (soup); (according to commentary) a soup of strained bean water with added oil		right_only
kaṭaggāha	masculine id	a winning catch at dice; good fortune		right_only
kaṭacchuka	masculine ~ā, feminine	a spoon (for serving food); a (sacrificial) ladle		right_only
kaṭacchuparissāvana	neuter	a handled strainer	kaṭacchu	right_only
kaṭacchubhikkhā	feminine	alms given on a spoon, a spoonful of food	kaṭacchu	right_only
kaṭaṭṭhika	neuter	the hip bone	['kaṭiṭṭhika', 'kaṭi']	right_only
kaṭana	neuter	an evil action; an injury	katana	right_only
kaṭasivaḍḍhana	adjective	causing a heaping up of the cemetery ground, filling the cemetery	kaṭasī	right_only
kaṭisuttaka	neuter	a girdle or belt (forbidden to bhikkhus but allowed for menstruating bhikkhunis)	kaṭi	right_only
kaṭukatara	adjective comp	more bitter	kaṭuka	right_only
kaṭukapabhedana	adjective	exuding pungent juice from its temples	kaṭuka	right_only
kaṭuviya	neuter (or adjective)	(according to commentary) (what is) left over; (what is) polluted, impure		right_only
kaṭūpiya	adjective	belonging to, fit for the hips	['kaṭūpaga', 'kaṭi']	right_only
kaṭṭhatāla	neuter	a wooden key	kaṭṭha	right_only
kaṭṭhatumba	masculine, neuter	a wooden vessel, a wooden water pot	kaṭṭha	right_only
kaṭṭhapuñja	masculine	a pile of sticks, a heap of firewood	kaṭṭha	right_only
kaṭṭhahāra	masculine ~ī, feminine	one who gathers sticks or firewood	kaṭṭha	right_only
kaṭṭhahāraka	mf(-ikā)	(one) who gathers sticks or firewood	kaṭṭha	right_only
kaṭhala	masculine, neuter & ~ā feminine	gravel; a pebble; a fragment (of earthenware), a potsherd	kathala	right_only
kaṭhali	feminine (?)	potsherd; scraper	kathali	right_only
kaṭhita	past participle adjective	hot, boiling, seething	kuthita	right_only
kaṭhinaka	adjective (neuter)	the chapter concerned with kaṭhina		right_only
kaṭhinaka	adjective (neuter)	(the section listing) the kaṭhina sikkhāpadas and those having a similar origin		right_only
kaṭhinattharaṇa	neuter	the covering of the kaṭhina ; the communal robe making and its ritual	kaṭhina	right_only
kaṭhinatthāraka	masculine	one who covers the kaṭhina ; who supervises the making of the robe (which becomes his)	kaṭhina	right_only
kaṭhinadussa	neuter	cloth (to be made up) on the kaṭhina	kaṭhina	right_only
kaṭhinarajju	feminine	the cord for (tying the robe material to) the kaṭhina	kaṭhina	right_only
kaṭhinasamuṭṭhāna	neuter	the section listing the kaṭhina sikkhāpadas and those sikkhāpadas having a similar origin	kaṭhina	right_only
kaṭhinubbhāra	masculine id	removal of the kaṭhina ; ending of the kaṭhina ; ending of the kaṭhina period (and of its special allowances)	kaṭhina	right_only
kaṇabhakka	adjective	having bran as one’s food, eating only bran	kaṇa	right_only
kaṇahoma	neuter	an offering of bran	kaṇa	right_only
kaṇika	masculine ~ā, feminine	a small pot; a facial blemish		right_only
kaṇeruloḷita	adjective	disturbed by female elephants		right_only
kaṇṭakadhāna	neuter	a clump of thorns; a thorny place	kaṇṭaka	right_only
kaṇṭakavaṭṭa	masculine	a clump or hedge of thorns	kaṇṭaka	right_only
kaṇṭakīvāṭa	masculine	a hedge of thorns, a prickly hedge		right_only
